chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/text,text,2308,1142,0.4948007,330,0.001499396
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/text/format,format,969,566,0.58410734,91,0.006418762
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/swing,swing,4977,2388,0.4798071,836,5.7393196E-4
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/swing/editor,editor,3426,1553,0.4532983,308,0.0014717478
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/event,event,1138,934,0.82073814,38,0.021598373
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/plot,plot,25069,12157,0.48494157,4524,1.071931E-4
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/plot/dial,dial,5544,3082,0.5559163,549,0.001012598
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/plot/pie,pie,4334,2103,0.48523304,491,9.882547E-4
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/plot/compass,compass,2333,1176,0.504072,227,0.0022205815
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/plot/flow,flow,797,303,0.38017565,99,0.003840158
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/block,block,4987,2593,0.5199519,648,8.023949E-4
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/legend,legend,3357,1704,0.5075961,407,0.0012471648
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/entity,entity,2586,1575,0.6090487,258,0.002360654
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data,data,4750,2745,0.57789475,5036,1.1475273E-4
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/general,general,5125,2845,0.55512196,568,9.773273E-4
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/xy,xy,11556,7243,0.62677395,1196,5.240585E-4
